input_name,normalized_name,medical_store_id
"AMRUT PHARMACY- BIG BAZAR, RAJKOT, RAJKOT",amrut pharmacy big bazar rajkot rajkot,8dc24d9f-930a-4241-85b2-471fcf60da4a
"AMRUTAM MED STORE(CT) KO., RAJKOT, RAJKOT",amrutam med store ct ko rajkot rajkot,a0933229-ce20-4c1b-97b7-3d955e7acba9
"ANAND MEDICINE, RAJKOT, RAJKOT",anand medicine rajkot rajkot,d5740fa7-34c1-4dc5-8b85-8a5b5e05ca67
"ANAND MEDICINES [DT] BNC, RAJKOT, RAJKOT",anand medicines dt bnc rajkot rajkot,7aa263fd-5180-400b-a5d8-a27fe8795368
"ANAND MEDICINES kothariya, RAJKOT, RAJKOT",anand medicines kothariya rajkot rajkot,0c328dac-0d2d-4e77-a8ff-464d14952552
"ANGEL LIFE PHARMACY- CANAL ROD, RAJKOT, RAJKOT",angel life pharmacy canal rod rajkot rajkot,b0405ba6-8d83-4267-812f-234fde9a695a
"ANGEL MEDI & GEN STORE [CT] S.K., RAJKOT, RAJKOT",angel medi gen store ct s k rajkot rajkot,37e0634e-0fb4-4b8f-a8d0-39e76b560f7c
"ANGEL MEDI.& GEN.STORE- BEDIPARA, RAJKOT, RAJKOT",angel medi gen store bedipara rajkot rajkot,15201760-7b9f-43d1-b40a-d171c6c7f030
"ANGLE MEDICAL & GENERAL STORE, RAJKOT, RAJKOT",angle medical general store rajkot rajkot,4123c09f-dd9c-463a-aee4-98aca828c68d
"ANISH MEDICINES 2, RAJKOT, RAJKOT",anish medicines 2 rajkot rajkot,4dea9afc-5322-4f27-b443-cd0ba6da88d4
"ANISH MEDICINES [DT] G.N., RAJKOT, RAJKOT",anish medicines dt g n rajkot rajkot,876d7809-f229-41f1-9963-c7a90e1c47e3
"ANJANI MED STORE [CT] KO.RO, RAJKOT, RAJKOT",anjani med store ct ko ro rajkot rajkot,2a33e949-a25d-4ffe-affa-2d38b3e64f66
ANJANI MEDICAL STORE KOTHRIA,anjani medical store kothria,37d0f4d7-2074-4ee6-9526-edd903c70ef0
ANMOL MEDICAL STORE,anmol medical store,a5f71720-5502-4fa6-af52-340584abcdbd
